SP	GiaTri	SoCoreN	Solantang
S	0.25	2	2
P	0.75	2	2
P	0.4	8	2
P	0.4	16	2
P	0.67	2	2
P	0.67	4	2
P	0.9	2	2
P	0.9	4	2
P	0.36	1	2
P	0.82	12	2
S	0.33	3	2
S	0.73	5	2
P	0.58	14	2
P	0.21	4	2
S	0.49	11	2
P	0.43	2	2
P	0.75	5	2
S	0.55	2	2
P	0.19	3	2
P	0.64	10	2
S	0.83	20	2
S	0.85	7	2
P	0.81	12	2
P	0.76	17	2
P	0.72	16	2
S	0.69	17	2
P	0.5	19	2
P	0.94	4	2
S	0.94	18	2
P	0.88	11	2
S	0.74	15	2
S	0.76	15	2
S	0.04	13	2
P	0.98	15	2
P	0.43	18	2
P	0.93	14	2
P	0.62	10	2
P	0.47	20	2
S	0.22	4	2
S	0.41	15	2
S	0.8	20	2
P	0.48	1	2
S	0.32	17	2
P	0.72	6	2
S	0.64	15	2
S	0.61	9	2
S	0.63	2	2
P	0.58	12	2
S	0	7	2
S	0.65	1	2
P	0.57	10	2
S	0.08	7	2
S	0.58	3	2
P	0.77	5	2
P	0.98	18	2
S	0.68	15	2
S	0.4	15	2
P	0.93	19	2
S	0.61	1	2
S	0.06	5	2
P	0.67	12	2
S	0.21	12	2
S	0.12	6	2
P	0.63	11	2
P	0.29	14	2
P	0.67	11	2
P	0.97	4	2
S	0.06	8	2
S	0.52	19	2
S	0.26	8	2
P	0.65	9	2
S	0.65	2	2
S	0.77	6	2
S	0.78	3	2
P	0.46	13	2
S	0.35	13	2
S	0.17	9	2
P	0.94	10	2
S	0.33	11	2
S	0.79	5	2
P	0.17	19	2
P	0.2	17	2
S	0.42	13	2
P	0.62	12	2
P	0.94	7	2
S	0.32	1	2
S	0.5	5	2
P	0.73	14	2
S	0.14	1	2
P	0.3	8	2
P	0.59	2	2
P	0.92	4	2
P	0.12	10	2
P	0.48	17	2
S	0.42	12	2
P	0.98	18	2
P	0.98	4	2
P	0.01	13	2
P	0.09	10	2
P	0.28	13	2
P	0.37	16	2
P	0.97	20	2
S	0.63	7	2
S	0.32	16	2
P	0.21	3	2
S	0.06	15	2
S	0.97	6	2
P	0.8	5	2
P	0.84	17	2
S	0.5	7	2
S	0.31	19	2
P	0.62	16	2
S	0.65	11	2
P	0.18	14	2
P	0.18	8	2
P	0.27	9	2
S	0.47	3	2
P	0.65	13	2
S	0.28	19	2
P	0.52	8	2
S	0.35	14	2
P	0.47	11	2
S	0.65	11	2
P	0.53	16	2
P	0.43	16	2
S	0.18	20	2
S	0.17	15	2
S	0.67	14	2
P	0.52	11	2
S	0.9	11	2
S	0.85	6	2
P	0.57	6	2
S	0.48	12	2
S	0.46	7	2
P	0.32	18	2
S	0.03	5	2
S	0.2	11	2
P	0.84	15	2
S	0.64	12	2
S	0.17	8	2
S	0.2	8	2
P	0.68	6	2
S	0.65	19	2
S	0.44	5	2
P	0.11	20	2
S	0.12	17	2
S	0.45	18	2
S	0.57	6	2
S	0.04	3	2
P	0.12	13	2
P	0.58	12	2
S	0.11	2	2
S	0.33	14	2
P	0	19	2
P	0.5	3	2
P	0.47	15	2
P	0.17	5	2
S	0.02	18	2
S	0.08	4	2
S	0.03	17	2
S	0.38	8	2
S	0.86	1	2
P	0.4	3	2
S	0.17	10	2
P	0.39	5	2
S	0.59	10	2
P	0.83	12	2
S	0.33	14	2
P	0.23	16	2
P	0.26	16	2
S	0.12	8	2
P	0.41	5	2
P	0.49	4	2
S	0	13	2
P	0.81	14	2
S	0.53	16	2
S	0.38	5	2
S	0.9	12	2
S	0.64	7	2
P	0.84	16	2
S	0.51	16	2
S	0.38	14	2
P	0.98	1	2
P	0.09	7	2
S	0.83	7	2
P	0.91	16	2
P	0.32	16	2
S	0.26	15	2
S	0.45	14	2
S	0.68	5	2
S	0.97	15	2
S	0.12	17	2
S	0.52	7	2
P	0.4	13	2
S	0.56	20	2
P	0.99	6	2
P	0.2	13	2
P	0.95	10	2
S	0.24	15	2
S	0.95	4	2
